epoch,split,loss,accuracy,precision,recall,f1
1,train,0.000000,1.000000,1.000000,1.000000,1.000000
1,val,0.000000,1.000000,1.000000,1.000000,1.000000
1,train,1.265143,0.645031,0.632577,0.645031,0.635535
1,val,0.745536,0.762590,0.828573,0.762590,0.761877
2,train,0.679792,0.793884,0.789234,0.793884,0.790385
2,val,0.731342,0.798561,0.827072,0.798561,0.788197
3,train,0.519677,0.841553,0.837190,0.841553,0.838783
3,val,0.341780,0.882494,0.869926,0.882494,0.870859
4,train,0.492933,0.843502,0.840852,0.843502,0.841594
4,val,0.383126,0.875300,0.898229,0.875300,0.874254
5,train,0.401970,0.873632,0.872619,0.873632,0.872729
5,val,0.368649,0.894484,0.905438,0.894484,0.888424
6,train,0.365055,0.881577,0.880507,0.881577,0.880728
6,val,0.280136,0.916067,0.923074,0.916067,0.912196
7,train,0.325324,0.895968,0.894679,0.895968,0.894999
7,val,0.320640,0.893285,0.904651,0.893285,0.889097
8,train,0.215155,0.931345,0.931937,0.931345,0.930771
8,val,0.099462,0.961631,0.959972,0.961631,0.959526
9,train,0.155173,0.952331,0.952476,0.952331,0.952115
9,val,0.079792,0.964029,0.961943,0.964029,0.962458
10,train,0.132491,0.958627,0.958774,0.958627,0.958444
10,val,0.073984,0.973621,0.972142,0.973621,0.972547
1,train,1.711217,0.523310,0.506867,0.523310,0.506442
1,val,0.945057,0.693046,0.734646,0.693046,0.671316
2,train,0.863695,0.727027,0.718399,0.727027,0.721212
2,val,0.679948,0.790168,0.833080,0.790168,0.782326
3,train,0.611226,0.805127,0.799879,0.805127,0.801351
3,val,0.365730,0.887290,0.891443,0.887290,0.877970
4,train,0.514887,0.837955,0.834599,0.837955,0.835585
4,val,0.332549,0.890887,0.899966,0.890887,0.887617
5,train,0.442863,0.858492,0.855851,0.858492,0.856525
5,val,0.270597,0.917266,0.922346,0.917266,0.909769
6,train,0.390193,0.875581,0.874953,0.875581,0.874454
6,val,0.299608,0.904077,0.910474,0.904077,0.897644
7,train,0.381566,0.879928,0.878375,0.879928,0.878835
7,val,0.270083,0.904077,0.909357,0.904077,0.900991
8,train,0.220566,0.928347,0.928915,0.928347,0.927745
8,val,0.111489,0.960432,0.959237,0.960432,0.958436
9,train,0.167709,0.944836,0.945067,0.944836,0.944486
9,val,0.104091,0.956835,0.953959,0.956835,0.953633
10,train,0.156376,0.947234,0.947110,0.947234,0.946911
10,val,0.098220,0.958034,0.957094,0.958034,0.956226
